"","MovieName","TrailerLink","youtubeView","youtubeLike","youtubeDisLike","Revenue","FacebookMovieLike","actExp","Budget","Opening_Weekend_Gross","ReleasePeriod","runtime","Screen","Sequel","MPAA_Rating","Genre","ROI","Success"
"18","Maleficent (film)","eGFUDQvUjjw",107520,799,37,241410378,8034462,42,180000000,69431000,180000000,97,3948,0,100,1100000100,0.341168766666667,FALSE
"19","Shrek Forever After","u7__TG7swg0",6658735,3794,526,238736787,3779984,36,179190000,73352000,179190000,93,4359,1,100,1010000000,0.3323108823037,FALSE
"20","Brave (2012 film)","TEHWDA_6e3M",16772325,38969,3012,237283207,8654588,36,190740000,68073000,190740000,93,4164,0,100,1010000000,0.244013877529621,FALSE
"21","Oz the Great and Powerful","DylgNj4YQVc",6520437,11060,679,234911825,1317413,70,218440000,79500000,218440000,130,3912,1,100,1000000000,0.0754066334004761,FALSE
"22","Star Trek Into Darkness","QAEkuVgt6Aw",6304395,14245,677,228778661,268,25,193040000,70511000,193040000,132,3868,1,10,1100000010,0.185136039162868,FALSE
"23","Big Hero 6 (film)","bT8qmoCgxZg",5160192,14641,603,222527828,2490673,66,165000000,56216000,165000000,102,3761,0,100,1110000010,0.348653503030303,FALSE
"24","How to Train Your Dragon (film)","oKiYuIsPxYk",4372175,7239,395,217581231,9846800,26,179190000,45284000,179190000,98,4055,0,100,1000000000,0.21424873597857,FALSE
"25","The Lorax (film)","yRvEa7aOZEE",6341298,10932,1151,214030500,2380858,114,72170000,72070000,72170000,86,3728,0,100,10000000,1.96564361923237,TRUE
"26","Dawn of the Planet of the Apes","3sHMCRaS3ao",11481324,32323,1685,208545589,3739411,78,170000000,72611000,170000000,130,3967,1,10,100100011,0.226738758823529,FALSE
"27","World War Z (film)","Md6Dvxdr0AQ",11678419,33000,2120,202359711,2707955,65,193040000,66739000,193040000,116,3607,0,10,1100010011,0.0482786520928305,FALSE
"28","Tangled (2010 film)","gKPzjsl9gYA",57925,33,4,200821936,18002912,23,282360000,50498000,282360000,100,3603,0,100,10000100,-0.288773423997733,FALSE
"29","Godzilla (2014 film)","MSrUHoc9LIE",3835049,17736,432,200676069,2682786,32,160000000,93205000,160000000,123,3952,0,10,1100000011,0.25422543125,FALSE
"30","22 Jump Street","v9S_dYuq0vE",8292679,25823,921,191719337,3834622,42,50000000,57071000,50000000,112,3306,1,1,111000000,2.83438674,TRUE
"31","Cars 2","oFTfAdauCOo",28899044,17143,4497,191452396,16601476,15,210200000,68137000,210200000,106,4115,1,1000,1010000000,-0.0891893625118934,FALSE
"32","Teenage Mutant Ninja Turtles (2014 film)","VZZ0PnDZdZk",8261924,27776,3486,191204754,2770299,25,125000000,65575000,125000000,101,3845,0,10,1110000010,0.529638032,FALSE
"33","Interstellar (film)","2LqzF5WauAw",2154447,6358,156,188020017,1847714,132,165000000,47510000,165000000,169,3561,0,10,1000000010,0.139515254545455,FALSE
"34","Pitch Perfect 2","6bh4mvJ5jUg",13102667,48648,2537,184296230,5783311,14,17527000,5285300,17527000,112,335,0,10,10000100,9.5149900154048,TRUE
"35","Lincoln (2012 film)","EC0_7Eiiu3Y",49747,123,7,182207973,428555,27,67015000,21605000,67015000,150,1775,0,10,100000,1.7189132731478,TRUE
"36","Thor (film)","npvJ9FTgZbM",16590887,60330,2265,181030624,12945665,10,157650000,67712000,157650000,115,3955,0,10,1100000000,0.148307161433555,FALSE
"37","Men in Black 3","IyaFEBI_L24",17267137,67903,1247,179020854,8342409,26,231980000,56033000,231980000,106,4248,1,10,110000010,-0.228291861367359,FALSE
"38","How to Train Your Dragon 2","Z9a4PvzlqoQ",17344996,70110,2686,177002924,9846615,43,145000000,49451000,145000000,102,4253,1,100,1110000000,0.220709820689655,FALSE
"39","Rise of the Planet of the Apes","EbCoDf44oCE",10273051,7566,733,176760185,3739535,71,97743000,56465000,97743000,105,3648,0,10,100100011,0.808417840663782,TRUE
"40","True Grit (2010 film)","5GkAH7IUWOE",1162604,2004,73,171243005,174014,75,41268000,25732000,41268000,110,3047,0,10,1000100000,3.14953486963265,TRUE
"41","The Help (film)","J_ajv_6pUnI",2780460,5797,318,169708112,1333198,14,26275000,26833000,26275000,146,2534,0,10,100000,5.45891958135109,TRUE
"42","Bridesmaids (2011 film)","1UW9Zks5L2A",1275420,1425,126,169106725,1396619,43,34158000,27042000,34158000,125,2918,0,1,10000100,3.95072091457345,TRUE
